technology,source,status,characters,path,error
Document-Aware Chunking,official_documentation,success,291595.0,/content/drive/MyDrive/forge/knowledge_base/raw/document_aware_chunking/official_documentation.txt,
Document-Aware Chunking,github_repository,success,331494.0,/content/drive/MyDrive/forge/knowledge_base/raw/document_aware_chunking/github_repository.txt,
Fixed-Size Chunking,official_documentation,success,291577.0,/content/drive/MyDrive/forge/knowledge_base/raw/fixed_size_chunking/official_documentation.txt,
Fixed-Size Chunking,github_repository,success,331494.0,/content/drive/MyDrive/forge/knowledge_base/raw/fixed_size_chunking/github_repository.txt,
Hierarchical Chunking,official_documentation,success,967261.0,/content/drive/MyDrive/forge/knowledge_base/raw/hierarchical_chunking/official_documentation.txt,
Hierarchical Chunking,github_repository,success,411356.0,/content/drive/MyDrive/forge/knowledge_base/raw/hierarchical_chunking/github_repository.txt,
Paragraph-Based Chunking,official_documentation,success,291595.0,/content/drive/MyDrive/forge/knowledge_base/raw/paragraph_based_chunking/official_documentation.txt,
Paragraph-Based Chunking,github_repository,success,331493.0,/content/drive/MyDrive/forge/knowledge_base/raw/paragraph_based_chunking/github_repository.txt,
Parent-Child Chunking,official_documentation,success,967261.0,/content/drive/MyDrive/forge/knowledge_base/raw/parent_child_chunking/official_documentation.txt,
Parent-Child Chunking,github_repository,success,411358.0,/content/drive/MyDrive/forge/knowledge_base/raw/parent_child_chunking/github_repository.txt,
Recursive Chunking,official_documentation,success,291588.0,/content/drive/MyDrive/forge/knowledge_base/raw/recursive_chunking/official_documentation.txt,
Recursive Chunking,github_repository,success,331493.0,/content/drive/MyDrive/forge/knowledge_base/raw/recursive_chunking/github_repository.txt,
Semantic Chunking,official_documentation,success,967314.0,/content/drive/MyDrive/forge/knowledge_base/raw/semantic_chunking/official_documentation.txt,
Semantic Chunking,github_repository,success,411358.0,/content/drive/MyDrive/forge/knowledge_base/raw/semantic_chunking/github_repository.txt,
Sentence-Based Chunking,official_documentation,success,967300.0,/content/drive/MyDrive/forge/knowledge_base/raw/sentence_based_chunking/official_documentation.txt,
Sentence-Based Chunking,github_repository,success,411358.0,/content/drive/MyDrive/forge/knowledge_base/raw/sentence_based_chunking/github_repository.txt,
Sliding Window Chunking,official_documentation,success,967316.0,/content/drive/MyDrive/forge/knowledge_base/raw/sliding_window_chunking/official_documentation.txt,
Sliding Window Chunking,github_repository,success,411357.0,/content/drive/MyDrive/forge/knowledge_base/raw/sliding_window_chunking/github_repository.txt,
Token-Based Chunking,official_documentation,success,291588.0,/content/drive/MyDrive/forge/knowledge_base/raw/token_based_chunking/official_documentation.txt,
Token-Based Chunking,github_repository,success,331493.0,/content/drive/MyDrive/forge/knowledge_base/raw/token_based_chunking/github_repository.txt,
Arize AI,official_documentation,success,436255.0,/content/drive/MyDrive/forge/knowledge_base/raw/arize_ai/official_documentation.txt,
AWS SageMaker,official_documentation,success,34952.0,/content/drive/MyDrive/forge/knowledge_base/raw/aws_sagemaker/official_documentation.txt,
Azure AI Foundry,official_documentation,success,50475.0,/content/drive/MyDrive/forge/knowledge_base/raw/azure_ai_foundry/official_documentation.txt,
BentoML,official_documentation,success,47927.0,/content/drive/MyDrive/forge/knowledge_base/raw/bentoml/official_documentation.txt,
BentoML,github_repository,success,409126.0,/content/drive/MyDrive/forge/knowledge_base/raw/bentoml/github_repository.txt,
Cloudflare Workers AI,official_documentation,success,145218.0,/content/drive/MyDrive/forge/knowledge_base/raw/cloudflare_workers_ai/official_documentation.txt,
Docker Compose,official_documentation,success,501487.0,/content/drive/MyDrive/forge/knowledge_base/raw/docker_compose/official_documentation.txt,
Docker Compose,github_repository,success,338488.0,/content/drive/MyDrive/forge/knowledge_base/raw/docker_compose/github_repository.txt,
Docker,official_documentation,success,172993.0,/content/drive/MyDrive/forge/knowledge_base/raw/docker/official_documentation.txt,
Docker,github_repository,success,361170.0,/content/drive/MyDrive/forge/knowledge_base/raw/docker/github_repository.txt,
Fly.io,official_documentation,success,152853.0,/content/drive/MyDrive/forge/knowledge_base/raw/fly_io/official_documentation.txt,
Google Cloud Run,official_documentation,success,273092.0,/content/drive/MyDrive/forge/knowledge_base/raw/google_cloud_run/official_documentation.txt,
Grafana,official_documentation,success,336220.0,/content/drive/MyDrive/forge/knowledge_base/raw/grafana/official_documentation.txt,
Grafana,github_repository,success,488710.0,/content/drive/MyDrive/forge/knowledge_base/raw/grafana/github_repository.txt,
Helm,official_documentation,success,30058.0,/content/drive/MyDrive/forge/knowledge_base/raw/helm/official_documentation.txt,
Helm,github_repository,success,340642.0,/content/drive/MyDrive/forge/knowledge_base/raw/helm/github_repository.txt,
Hugging Face Inference Endpoints,official_documentation,success,100181.0,/content/drive/MyDrive/forge/knowledge_base/raw/hugging_face_inference_endpoints/official_documentation.txt,
Hugging Face Spaces,official_documentation,success,180442.0,/content/drive/MyDrive/forge/knowledge_base/raw/hugging_face_spaces/official_documentation.txt,
Hugging Face Text Generation Inference (TGI),official_documentation,success,101821.0,/content/drive/MyDrive/forge/knowledge_base/raw/hugging_face_text_generation_inference_tgi/official_documentation.txt,
Hugging Face Text Generation Inference (TGI),github_repository,success,448283.0,/content/drive/MyDrive/forge/knowledge_base/raw/hugging_face_text_generation_inference_tgi/github_repository.txt,
K3s,official_documentation,success,21025.0,/content/drive/MyDrive/forge/knowledge_base/raw/k3s/official_documentation.txt,
K3s,github_repository,success,423193.0,/content/drive/MyDrive/forge/knowledge_base/raw/k3s/github_repository.txt,
KServe,official_documentation,failed,,,"Client error '404 Not Found' for url 'https://kserve.github.io/website/latest/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404"
KServe,github_repository,success,426125.0,/content/drive/MyDrive/forge/knowledge_base/raw/kserve/github_repository.txt,
Kubernetes,official_documentation,success,486935.0,/content/drive/MyDrive/forge/knowledge_base/raw/kubernetes/official_documentation.txt,
Kubernetes,github_repository,success,373095.0,/content/drive/MyDrive/forge/knowledge_base/raw/kubernetes/github_repository.txt,
Langfuse,official_documentation,success,463056.0,/content/drive/MyDrive/forge/knowledge_base/raw/langfuse/official_documentation.txt,
Langfuse,github_repository,success,635183.0,/content/drive/MyDrive/forge/knowledge_base/raw/langfuse/github_repository.txt,
llama.cpp,official_documentation,success,539105.0,/content/drive/MyDrive/forge/knowledge_base/raw/llama_cpp/official_documentation.txt,
llama.cpp,github_repository,success,599175.0,/content/drive/MyDrive/forge/knowledge_base/raw/llama_cpp/github_repository.txt,
LM Studio,official_documentation,success,175795.0,/content/drive/MyDrive/forge/knowledge_base/raw/lm_studio/official_documentation.txt,
MLServer,official_documentation,success,607813.0,/content/drive/MyDrive/forge/knowledge_base/raw/mlserver/official_documentation.txt,
MLServer,github_repository,success,356596.0,/content/drive/MyDrive/forge/knowledge_base/raw/mlserver/github_repository.txt,
Modal,official_documentation,success,53926.0,/content/drive/MyDrive/forge/knowledge_base/raw/modal/official_documentation.txt,
NVIDIA Triton Inference Server,official_documentation,success,45117.0,/content/drive/MyDrive/forge/knowledge_base/raw/nvidia_triton_inference_server/official_documentation.txt,
NVIDIA Triton Inference Server,github_repository,success,389898.0,/content/drive/MyDrive/forge/knowledge_base/raw/nvidia_triton_inference_server/github_repository.txt,
Ollama,official_documentation,success,435069.0,/content/drive/MyDrive/forge/knowledge_base/raw/ollama/official_documentation.txt,
Ollama,github_repository,success,511912.0,/content/drive/MyDrive/forge/knowledge_base/raw/ollama/github_repository.txt,
Prometheus,official_documentation,success,177420.0,/content/drive/MyDrive/forge/knowledge_base/raw/prometheus/official_documentation.txt,
Prometheus,github_repository,success,447454.0,/content/drive/MyDrive/forge/knowledge_base/raw/prometheus/github_repository.txt,
Railway,official_documentation,success,192468.0,/content/drive/MyDrive/forge/knowledge_base/raw/railway/official_documentation.txt,
Ray Serve,official_documentation,success,208489.0,/content/drive/MyDrive/forge/knowledge_base/raw/ray_serve/official_documentation.txt,
Ray Serve,github_repository,success,406304.0,/content/drive/MyDrive/forge/knowledge_base/raw/ray_serve/github_repository.txt,
Render,official_documentation,success,539928.0,/content/drive/MyDrive/forge/knowledge_base/raw/render/official_documentation.txt,
Replicate,official_documentation,success,174699.0,/content/drive/MyDrive/forge/knowledge_base/raw/replicate/official_documentation.txt,
SGLang,official_documentation,success,320078.0,/content/drive/MyDrive/forge/knowledge_base/raw/sglang/official_documentation.txt,
SGLang,github_repository,success,362727.0,/content/drive/MyDrive/forge/knowledge_base/raw/sglang/github_repository.txt,
Vercel Edge Functions,official_documentation,success,977327.0,/content/drive/MyDrive/forge/knowledge_base/raw/vercel_edge_functions/official_documentation.txt,
Vercel,official_documentation,success,910492.0,/content/drive/MyDrive/forge/knowledge_base/raw/vercel/official_documentation.txt,
Vertex AI,official_documentation,success,708206.0,/content/drive/MyDrive/forge/knowledge_base/raw/vertex_ai/official_documentation.txt,
vLLM,official_documentation,success,537050.0,/content/drive/MyDrive/forge/knowledge_base/raw/vllm/official_documentation.txt,
vLLM,github_repository,success,395842.0,/content/drive/MyDrive/forge/knowledge_base/raw/vllm/github_repository.txt,
Weights & Biases,official_documentation,success,329697.0,/content/drive/MyDrive/forge/knowledge_base/raw/weights_biases/official_documentation.txt,
Weights & Biases,github_repository,success,384417.0,/content/drive/MyDrive/forge/knowledge_base/raw/weights_biases/github_repository.txt,
BAAI BGE Embeddings,official_documentation,success,458559.0,/content/drive/MyDrive/forge/knowledge_base/raw/baai_bge_embeddings/official_documentation.txt,
BAAI BGE Embeddings,github_repository,success,379697.0,/content/drive/MyDrive/forge/knowledge_base/raw/baai_bge_embeddings/github_repository.txt,
BAAI BGE Embeddings,release_notes,success,449970.0,/content/drive/MyDrive/forge/knowledge_base/raw/baai_bge_embeddings/release_notes.txt,
BAAI BGE Embeddings,research_papers,success,41918.0,/content/drive/MyDrive/forge/knowledge_base/raw/baai_bge_embeddings/research_papers.txt,
BAAI BGE Embeddings,benchmark_pages,success,92321.0,/content/drive/MyDrive/forge/knowledge_base/raw/baai_bge_embeddings/benchmark_pages.txt,
E5 Embeddings,official_documentation,success,279377.0,/content/drive/MyDrive/forge/knowledge_base/raw/e5_embeddings/official_documentation.txt,
E5 Embeddings,github_repository,success,306668.0,/content/drive/MyDrive/forge/knowledge_base/raw/e5_embeddings/github_repository.txt,
E5 Embeddings,research_papers,success,41827.0,/content/drive/MyDrive/forge/knowledge_base/raw/e5_embeddings/research_papers.txt,
E5 Embeddings,research_papers,success,40961.0,/content/drive/MyDrive/forge/knowledge_base/raw/e5_embeddings/research_papers.txt,
E5 Embeddings,benchmark_pages,success,92321.0,/content/drive/MyDrive/forge/knowledge_base/raw/e5_embeddings/benchmark_pages.txt,
Jina Embeddings,official_documentation,success,387468.0,/content/drive/MyDrive/forge/knowledge_base/raw/jina_embeddings/official_documentation.txt,
Jina Embeddings,github_repository,success,407168.0,/content/drive/MyDrive/forge/knowledge_base/raw/jina_embeddings/github_repository.txt,
Jina Embeddings,technical_blog,success,156138.0,/content/drive/MyDrive/forge/knowledge_base/raw/jina_embeddings/technical_blog.txt,
Jina Embeddings,release_notes,success,464769.0,/content/drive/MyDrive/forge/knowledge_base/raw/jina_embeddings/release_notes.txt,
Jina Embeddings,research_papers,success,44986.0,/content/drive/MyDrive/forge/knowledge_base/raw/jina_embeddings/research_papers.txt,
Nomic Embed,official_documentation,success,36429.0,/content/drive/MyDrive/forge/knowledge_base/raw/nomic_embed/official_documentation.txt,
