technology,source,characters,path
anthropic_claude,api_reference,7202,anthropic_claude/api_reference.txt
anthropic_claude,github_repository,613,anthropic_claude/github_repository.txt
anthropic_claude,official_documentation,1087,anthropic_claude/official_documentation.txt
anthropic_claude,release_notes,50036,anthropic_claude/release_notes.txt
anthropic_claude,technical_blog,1291,anthropic_claude/technical_blog.txt
arize_ai,official_documentation,5636,arize_ai/official_documentation.txt
arize_phoenix,github_repository,11301,arize_phoenix/github_repository.txt
arize_phoenix,official_documentation,11301,arize_phoenix/official_documentation.txt
aws_sagemaker,official_documentation,897,aws_sagemaker/official_documentation.txt
axolotl,github_repository,8692,axolotl/github_repository.txt
axolotl,official_documentation,8692,axolotl/official_documentation.txt
azure_ai_foundry,official_documentation,424,azure_ai_foundry/official_documentation.txt
baai_bge_embeddings,benchmark_pages,151,baai_bge_embeddings/benchmark_pages.txt
baai_bge_embeddings,github_repository,13244,baai_bge_embeddings/github_repository.txt
baai_bge_embeddings,official_documentation,1663,baai_bge_embeddings/official_documentation.txt
baai_bge_embeddings,release_notes,8918,baai_bge_embeddings/release_notes.txt
baai_bge_embeddings,research_papers,2648,baai_bge_embeddings/research_papers.txt
bentoml,github_repository,5266,bentoml/github_repository.txt
bentoml,official_documentation,1969,bentoml/official_documentation.txt
bge_reranker,github_repository,13244,bge_reranker/github_repository.txt
bge_reranker,official_documentation,14044,bge_reranker/official_documentation.txt
bge_reranker,research_papers,2648,bge_reranker/research_papers.txt
chain_of_thought_cot,research_papers,2539,chain_of_thought_cot/research_papers.txt
chroma,api_reference,3695,chroma/api_reference.txt
chroma,community_resources,46,chroma/community_resources.txt
chroma,github_repository,1901,chroma/github_repository.txt
chroma,official_documentation,937,chroma/official_documentation.txt
chroma,release_notes,15429,chroma/release_notes.txt
chroma,technical_blog,5670,chroma/technical_blog.txt
cloudflare_workers_ai,official_documentation,2306,cloudflare_workers_ai/official_documentation.txt
cohere_rerank,api_reference,521,cohere_rerank/api_reference.txt
colbert,github_repository,9089,colbert/github_repository.txt
colbert,official_documentation,9089,colbert/official_documentation.txt
colbert,research_papers,3159,colbert/research_papers.txt
contextual_compression_retrieval,github_repository,3698,contextual_compression_retrieval/github_repository.txt
contextual_compression_retrieval,official_documentation,3698,contextual_compression_retrieval/official_documentation.txt
crag,github_repository,6689,crag/github_repository.txt
crag,official_documentation,6689,crag/official_documentation.txt
crag,research_papers,2859,crag/research_papers.txt
cross_encoder,github_repository,9132,cross_encoder/github_repository.txt
cross_encoder,official_documentation,3150,cross_encoder/official_documentation.txt
deepeval,github_repository,15984,deepeval/github_repository.txt
deepeval,official_documentation,15984,deepeval/official_documentation.txt
deepseek,api_reference,2479,deepseek/api_reference.txt
deepseek,github_repository,15271,deepseek/github_repository.txt
deepseek,official_documentation,931,deepseek/official_documentation.txt
deepseek,release_notes,257,deepseek/release_notes.txt
deepseek,research_papers,2649,deepseek/research_papers.txt
dense_retrieval,github_repository,17182,dense_retrieval/github_repository.txt
dense_retrieval,research_papers,2205,dense_retrieval/research_papers.txt
docker,github_repository,1113,docker/github_repository.txt
docker,official_documentation,536,docker/official_documentation.txt
docker_compose,github_repository,1840,docker_compose/github_repository.txt
docker_compose,official_documentation,778,docker_compose/official_documentation.txt
document_aware_chunking,github_repository,3698,document_aware_chunking/github_repository.txt
document_aware_chunking,official_documentation,3698,document_aware_chunking/official_documentation.txt
dspy,github_repository,2776,dspy/github_repository.txt
dspy,official_documentation,2776,dspy/official_documentation.txt
e5_embeddings,benchmark_pages,151,e5_embeddings/benchmark_pages.txt
e5_embeddings,github_repository,3784,e5_embeddings/github_repository.txt
e5_embeddings,official_documentation,2177,e5_embeddings/official_documentation.txt
e5_embeddings,research_papers,2058,e5_embeddings/research_papers.txt
ensemble_retrieval,github_repository,3698,ensemble_retrieval/github_repository.txt
ensemble_retrieval,official_documentation,3698,ensemble_retrieval/official_documentation.txt
faiss,benchmark_pages,13175,faiss/benchmark_pages.txt
faiss,community_resources,1015,faiss/community_resources.txt
faiss,github_repository,5033,faiss/github_repository.txt
faiss,official_documentation,9620,faiss/official_documentation.txt
faiss,release_notes,41139,faiss/release_notes.txt
faiss,research_papers,2560,faiss/research_papers.txt
faiss,technical_blog,16036,faiss/technical_blog.txt
few_shot_prompting,research_papers,3320,few_shot_prompting/research_papers.txt
fixed_size_chunking,github_repository,3698,fixed_size_chunking/github_repository.txt
fixed_size_chunking,official_documentation,3698,fixed_size_chunking/official_documentation.txt
flashrank,github_repository,9370,flashrank/github_repository.txt
flashrank,official_documentation,9370,flashrank/official_documentation.txt
fly_io,official_documentation,582,fly_io/official_documentation.txt
google_cloud_run,official_documentation,5297,google_cloud_run/official_documentation.txt
google_gemini,api_reference,7066,google_gemini/api_reference.txt
google_gemini,github_repository,1506,google_gemini/github_repository.txt
google_gemini,official_documentation,3023,google_gemini/official_documentation.txt
google_gemini,release_notes,33966,google_gemini/release_notes.txt
google_gemini,research_papers,2671,google_gemini/research_papers.txt
google_gemini,technical_blog,883,google_gemini/technical_blog.txt
grafana,github_repository,2041,grafana/github_repository.txt
grafana,official_documentation,1569,grafana/official_documentation.txt
graph_of_thoughts_got,github_repository,5688,graph_of_thoughts_got/github_repository.txt
graph_of_thoughts_got,research_papers,2712,graph_of_thoughts_got/research_papers.txt
graphrag,github_repository,2299,graphrag/github_repository.txt
graphrag,official_documentation,2299,graphrag/official_documentation.txt
graphrag,research_papers,2988,graphrag/research_papers.txt
guidance,github_repository,10286,guidance/github_repository.txt
guidance,official_documentation,10286,guidance/official_documentation.txt
haystack,api_reference,581,haystack/api_reference.txt
haystack,github_repository,5655,haystack/github_repository.txt
haystack,official_documentation,1784,haystack/official_documentation.txt
haystack,release_notes,28149,haystack/release_notes.txt
haystack,technical_blog,923,haystack/technical_blog.txt
helm,github_repository,2494,helm/github_repository.txt
helm,official_documentation,753,helm/official_documentation.txt
hierarchical_chunking,github_repository,6876,hierarchical_chunking/github_repository.txt
hierarchical_chunking,official_documentation,36432,hierarchical_chunking/official_documentation.txt
hugging_face_inference_endpoints,official_documentation,3468,hugging_face_inference_endpoints/official_documentation.txt
hugging_face_spaces,official_documentation,1264,hugging_face_spaces/official_documentation.txt
hugging_face_text_generation_inference_tgi,github_repository,9932,hugging_face_text_generation_inference_tgi/github_repository.txt
hugging_face_text_generation_inference_tgi,official_documentation,2146,hugging_face_text_generation_inference_tgi/official_documentation.txt
hyde,github_repository,1069,hyde/github_repository.txt
hyde,official_documentation,1069,hyde/official_documentation.txt
hyde,research_papers,2603,hyde/research_papers.txt
jina_ai_reranker,official_documentation,13345,jina_ai_reranker/official_documentation.txt
jina_embeddings,github_repository,4804,jina_embeddings/github_repository.txt
jina_embeddings,official_documentation,10860,jina_embeddings/official_documentation.txt
jina_embeddings,release_notes,2370,jina_embeddings/release_notes.txt
jina_embeddings,research_papers,2930,jina_embeddings/research_papers.txt
jina_embeddings,technical_blog,284,jina_embeddings/technical_blog.txt
k3s,github_repository,7072,k3s/github_repository.txt
k3s,official_documentation,1825,k3s/official_documentation.txt
kserve,github_repository,3100,kserve/github_repository.txt
kubernetes,github_repository,2495,kubernetes/github_repository.txt
kubernetes,official_documentation,842,kubernetes/official_documentation.txt
langchain,api_reference,321,langchain/api_reference.txt
langchain,github_repository,3698,langchain/github_repository.txt
langchain,official_documentation,1278,langchain/official_documentation.txt
